n,rmse,mae,bias,r,model,phase,stage,caveat,sim_mean,obs_mean
324.0,11.921392484329676,10.01388888888889,-6.739197530864198,-0.10568979567527362,simplace,0,Sowing (BBCH 00),"rule-based in SIMPLACE, a constant input in torchcrop",273.1882716049383,279.9274691358025
324.0,13.818013605435478,11.71141975308642,-9.927469135802468,,torchcrop,0,Sowing (BBCH 00),"rule-based in SIMPLACE, a constant input in torchcrop",270.0,279.9274691358025
323.0,18.530725050516313,16.03560371517028,-14.890092879256965,-0.1824359605592619,simplace,10,Emergence (BBCH 10),first leaf through the sheath,278.58513931888547,293.4752321981424
322.0,24.677925358506133,22.419254658385093,21.81055900621118,0.6874873855769599,simplace,51,Heading (BBCH 51),heading precedes anthesis by ~5-10 d,172.67701863354037,150.8664596273292
323.0,39.584431846144305,37.18266253869969,37.15170278637771,0.5066178814724642,simplace,85,Soft dough (BBCH 85),precedes full ripeness (BBCH 89),236.1888544891641,199.0371517027864
323.0,20.17880597375166,16.126934984520123,-15.343653250773993,0.4699546200633208,torchcrop,85,Soft dough (BBCH 85),precedes full ripeness (BBCH 89),183.69349670410156,199.0371517027864
322.0,23.722892343009367,20.392857142857142,19.274844720496894,0.5034753966088367,simplace,100,Harvest (PEP725 100),at or after maturity,236.0776397515528,216.8027950310559
322.0,35.99045551529958,33.25931677018634,-33.25310559006211,0.4270165407172012,torchcrop,100,Harvest (PEP725 100),at or after maturity,183.5496826171875,216.8027950310559
